5000;39;0;
15000;378;2;
25000;1019;3;
35000;1866;5;
45000;3023;6;
55000;4577;8;
65000;6712;10;
75000;8620;11;
85000;10863;13;
95000;13639;15;
105000;16658;16;
115000;19797;18;
125000;23408;18;
135000;28430;20;
145000;34645;22;
155000;41866;23;
165000;49465;25;
175000;57132;26;
185000;66427;29;
195000;73336;29;
205000;81991;31;
215000;91830;31;
225000;101410;33;
235000;110387;35;
245000;120875;36;
255000;133923;36;
265000;145077;38;
275000;156486;41;
285000;169897;42;
295000;183400;42;
305000;197207;43;
315000;214694;46;
325000;230306;48;
335000;242314;47;
345000;263292;51;
355000;273243;50;
